https://docs.google.com/spreadsheets/d/10kBMisQ6dNcBLNO0GuD85w1eL1BUm8tKaAb9gl8-38M/edit?gid=963706410#gid=963706410,,,,,,,20-Aug-2026,,1-May-2026,WEEK-1,,7-May-2026,8-May-2025,WEEK-2,,14-May-2026,15-May-2026,WEEK-3,,21-May-2026,22-May-2026,WEEK-4,,31-May-2025
FITTING,CF13,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,PC26,#REF!,"1,700",0,0,0,"1,700",,850,,,,850,,,,0,,,,0,,,
FITTING,C278N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CH79QS,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C876,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C67,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C122,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C277N,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C90,#REF!,100,0,0,0,100,,50,,,,50,,,,0,,,,0,,,
FITTING,C529,#REF!,320,0,0,0,320,,160,,,,160,,,,0,,,,0,,,
FITTING,C276,#REF!,80,0,0,0,80,,40,,,,40,,,,0,,,,0,,,
SOLVENT,S6,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C57,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C321,#REF!,"2,204",0,0,0,"2,204",,"1,102",,,,"1,102",,,,0,,,,0,,,
FITTING,C41,#REF!,800,0,0,0,800,,400,,,,400,,,,0,,,,0,,,
FITTING,C58,#REF!,30,0,0,0,30,,30,,,,0,,,,0,,,,0,,,
FITTING,C862,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-5S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C59,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C886,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C897,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,C68,#REF!,156,0,0,0,156,,78,,,,78,,,,0,,,,0,,,
SOLVENT,S7,#REF!,48,0,0,0,48,,24,,,,24,,,,0,,,,0,,,
FITTING,C69,#REF!,8,0,0,0,8,,4,,,,4,,,,0,,,,0,,,
FITTING,C841,#REF!,600,0,0,0,600,,300,,,,300,,,,0,,,,0,,,
FITTING,CH24,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CH25,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CH72QS,#REF!,288,0,0,0,288,,144,,,,144,,,,0,,,,0,,,
FITTING,CM35,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-7,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CM23,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-20S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-19S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CH78F,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-18S,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
FITTING,CM33,#REF!,0,0,0,0,0,,0,,,,0,,,,0,,,,0,,,
PIPE,PS-8,#REF!,40,0,0,0,40,,20,,,,20,,,,0,,,,0,,,
FITTING,C49,#REF!,40,0,0,0,40,,20,,,,20,,,,0,,,,0,,,
FITTING,C524,#REF!,950,0,0,0,950,,950,,,,0,,,,0,,,,0,,,
FITTING,PP2,#REF!,"1,100",0,0,0,"1,100",,550,,,,550,,,,0,,,,0,,,
