https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 2!B17:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col20,Col21,Col22,Col23,Col24",,,,,,,,"26,951",0,0,0,"23,925",0,0,0,898,0,0,0,"1,027",0,0,0,591,0,0,0
ITEM CODE,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
124-SG,-39,0,0,0,-39,132-NP-,132-NP,24,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-DP,25,0,0,0,25,123-NNP-,123-NNP,54,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129-DR,-9,0,0,0,-9,132-RG-,132-RG,26,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-VP,-6,0,0,0,-6,124-NP-,124-NP,6,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1375-QW,-1,0,0,0,-1,147-RG-,147-RG,47,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-SW,-24,0,0,0,-24,147-LQW-,147-LQW,30,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133-HR,-2,0,0,0,-2,1375-LW-,1375-LW,12,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-RR,-21,0,0,0,-21,133-NW-,133-NW,10,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-RR,-8,0,0,0,-8,130-LW-,130-LW,6,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322-HNW,-5,0,0,0,-5,129-LW-,129-LW,30,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144-HG,-24,0,0,0,-24,124-RG-,124-RG,120,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147-VG,-7,0,0,0,-7,-,,,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0
