https://docs.google.com/spreadsheets/d/170xrcWDdTMvTLSJyCw3yGBWxqOOSfZkesGWunqKr8Rw/edit?gid=1817895758#gid=1817895758,,,,,,,,,,,,,,,1-Jun-2026,WEEK-1,,7-Jun-2026,8-Jun-2026,WEEK-2,,14-Jun-2026,15-Jun-2026,WEEK-3,,21-Jun-2026,22-Jun-2026,WEEK-4,,30-Jun-2026
REPORT 5!I12:AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECT Col1,Col2,Col15,Col16,Col17,Col18,Col19",,,,,,,,,,,"30,164",0,0,0,"29,897",0,0,0,52,0,0,0,100,0,0,0,95,0,0,0
,ITEM CODE,ITEM COLOR,TOTAL PLAN,WEEK-1,WEEK-2,WEEK-3,WEEK-4,,ITEM CODE,ITEM COLOR,TOTAL PLAN,TOTAL PROD,TOTAL ORDER,TOTAL SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE,PLANNED,PRODUCED,ORDER,SALE
506BURGUNDAY,506,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
508BURGUNDAY,508,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
507BURGUNDAY,507,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
701BURGUNDAY,701,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
702BURGUNDAY,702,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
703BURGUNDAY,703,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
704BURGUNDAY,704,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
705BURGUNDAY,705,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
706BURGUNDAY,706,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
708BURGUNDAY,708,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
501-NBURGUNDAY,501-N,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
503-NBURGUNDAY,503-N,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
701-NBURGUNDAY,701-N,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
723BURGUNDAY,723,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
724BURGUNDAY,724,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
725BURGUNDAY,725,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
722BURGUNDAY,722,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
511BURGUNDAY,511,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
512BURGUNDAY,512,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
513BURGUNDAY,513,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
514BURGUNDAY,514,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
515BURGUNDAY,515,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
516BURGUNDAY,516,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
517BURGUNDAY,517,BURGUNDAY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
721IVORY,721,IVORY,-66,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
518IVORY,518,IVORY,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
