id,item_code,colour,avg_3mo_sale,stock,pending_current,pending_last_month
419477,124-NP,,55,138,0,0
419478,124-NR,,176,676,0,0
419479,124-NW,,11,81,0,0
419480,124-O,BURGUNDY,0,0,0,0
419481,124-O,GREEN,0,0,0,0
419482,124-O,IVORY,1520,1849,0,0
419483,124-O,M GREEN,0,0,0,0
419484,124-O,PINK,0,0,0,0
419485,124-O,WHITE,3600.33,3186,0,0
419486,124-P,BURGUNDY,0,0,0,0
419487,124-P,GREEN,0,0,0,0
419488,124-P,IVORY,276,0,0,67
419489,124-P,M GREEN,0,0,0,0
419490,124-P,PINK,0,0,0,0
419491,124-P,WHITE,146,322,0,0
419492,124-PR,,0,0,0,0
419493,124-R,BURGUNDY,0,0,0,0
419494,124-R,GREEN,0,0,0,0
419495,124-R,IVORY,0,0,0,0
419496,124-R,M GREEN,0,0,0,0
419497,124-R,PINK,0,0,0,0
419498,124-R,WHITE,80,0,0,160
419499,124-RG,,60,5,0,0
419500,124-RP,,0,0,0,0
419501,124-RR,,20,40,99,0
419502,124-RW,,0,24,0,0
419503,124-S,BURGUNDY,0,0,0,0
419504,124-S,GREEN,0,0,0,0
419505,124-S,IVORY,216,690,0,0
419506,124-S,M GREEN,0,0,0,0
419507,124-S,PINK,0,0,0,0
419508,124-S,WHITE,353.33,118,0,0
419509,124-SG,,84.67,0,0,71
419510,124-SP,,72,0,0,161
419511,124-SR,,1120.67,0,0,340
419512,124-SW,,0,56,0,0
419513,124-U,BURGUNDY,0,0,0,0
419514,124-U,GREEN,0,0,0,0
419515,124-U,IVORY,0,5,0,0
419516,124-U,M GREEN,0,0,0,0
419517,124-U,PINK,0,0,0,0
419518,124-U,WHITE,149,0,0,226
419519,124-UG,,0,32,0,0
419520,124-UP,,11,345,0,0
419521,124-UR,32,81,32,0,0
419522,124-UW,,0,11,0,0
419523,124-V,BURGUNDY,0,0,0,0
419524,124-V,GREEN,0,0,0,0
419525,124-V,IVORY,0,72,0,0
419526,124-V,M GREEN,0,0,0,0
419527,124-V,PINK,0,0,0,0
419528,124-V,WHITE,0,73,0,0
419529,124-VG,,0,193,0,0
419530,124-VP,54,54,79,0,0
419531,124-VR,,54,23,0,0
419532,124-VW,,0,35,0,0
419533,124-W,IVORY,100,232,0,0
419534,124-W,WHITE,1080,0,0,672
419535,124-WS,IVORY,0,897,0,0
419536,124-WS,WHITE,340,0,0,46
419537,1241,BURGUNDY,0,0,0,0
419538,1241,GREEN,0,0,0,0
419539,1241,IVORY,398.67,0,0,92
419540,1241,M GREEN,0,0,0,0
419541,1241,PINK,0,0,0,0
419542,1241,WHITE,506,906,0,0
419543,1241-F,BURGUNDY,0,0,0,0
419544,1241-F,GREEN,0,0,0,0
419545,1241-F,IVORY,0,306,0,0
419546,1241-F,M GREEN,0,0,0,0
419547,1241-F,PINK,0,0,0,0
419548,1241-F,WHITE,0.67,233,0,0
419549,125-O,BURGUNDY,0,0,0,0
419550,125-O,GREEN,0,0,0,0
419551,125-O,IVORY,2095.33,0,0,924
419552,125-O,M GREEN,0,0,0,0
419553,125-O,PINK,0,0,0,0
