item_code,colour,category,issued_demand
123-IG,,Cocks Premium,22
123-IP,,Cocks Premium,0
123-IR,,Cocks Premium,0
123-IW,,Cocks Premium,0
123-LG,,Cocks Premium,0
123-LP,,Cocks Premium,0
123-LR,,Cocks Premium,0
123-LW,,Cocks Premium,0
123-NNB,,Cocks Premium,355
123-NNG,,Cocks Premium,54.33
123-NNP,,Cocks Premium,41
123-NNR,,Cocks Premium,0
123-NNW,,Cocks Premium,28
123-QG,27,Cocks Premium,0
123-QP,,Cocks Premium,0
123-QR,376,Cocks Premium,597.67
123-QW,,Cocks Premium,0
123-RG,17,Cocks Premium,0
123-RP,,Cocks Premium,0
123-RR,,Cocks Premium,50
123-RW,,Cocks Premium,0
123-UG,,Cocks Premium,0
123-UP,,Cocks Premium,0
123-UR,88,Cocks Premium,76
123-UW,,Cocks Premium,0
124-DP,,Cocks Premium,0
124-FHG,,Cocks Premium,0
124-FHP,,Cocks Premium,0
124-FHR,,Cocks Premium,0
124-FHW,,Cocks Premium,0
124-HG,,Cocks Premium,0
124-HP,,Cocks Premium,0
124-HR,,Cocks Premium,69
124-HW,,Cocks Premium,0
124-IG,,Cocks Premium,0
124-IP,,Cocks Premium,0
124-IR,,Cocks Premium,0
124-IW,,Cocks Premium,0
124-LG,,Cocks Premium,0
124-LP,,Cocks Premium,0
124-LR,,Cocks Premium,0
124-LW,,Cocks Premium,0
124-NB,,Cocks Premium,218
124-NG,,Cocks Premium,0
124-NP,,Cocks Premium,0
124-NR,,Cocks Premium,0
124-NW,,Cocks Premium,0
124-RG,,Cocks Premium,55
124-RP,,Cocks Premium,0
124-RR,,Cocks Premium,79
124-RW,,Cocks Premium,0
124-SG,,Cocks Premium,155.67
124-SP,,Cocks Premium,233
124-SR,,Cocks Premium,1460.67
124-SW,,Cocks Premium,0
124-UG,,Cocks Premium,0
124-UP,,Cocks Premium,0
124-UR,32,Cocks Premium,49
124-UW,,Cocks Premium,0
124-VG,,Cocks Premium,0
124-VP,54,Cocks Premium,0
124-VR,,Cocks Premium,31
124-VW,,Cocks Premium,0
127-HG,,Cocks Premium,83
127-HP,,Cocks Premium,0
127-HR,,Cocks Premium,0
127-HW,,Cocks Premium,72
127-SG,,Cocks Premium,0
127-SP,,Cocks Premium,0
127-SR,,Cocks Premium,305
127-SW,,Cocks Premium,0
127-VG,,Cocks Premium,0
127-VP,,Cocks Premium,0
127-VR,,Cocks Premium,0
127-VW,,Cocks Premium,0
129-DG,,Cocks Premium,0
129-DP,,Cocks Premium,0
129-DR,,Cocks Premium,199
129-DW,,Cocks Premium,18
129-HG,,Cocks Premium,0
129-HP,,Cocks Premium,0
129-HR,99,Cocks Premium,55
129-HW,,Cocks Premium,0
129-IG,,Cocks Premium,9
129-IP,,Cocks Premium,0
129-IR,,Cocks Premium,0
129-IW,,Cocks Premium,0
129-LG,,Cocks Premium,0
129-LP,,Cocks Premium,0
129-LR,,Cocks Premium,0
129-LW,,Cocks Premium,0
129-NB,,Cocks Premium,8.67
129-NG,,Cocks Premium,7.33
129-NP,,Cocks Premium,0
129-NR,,Cocks Premium,0
129-NW,,Cocks Premium,0
129-QG,,Cocks Premium,20
129-QP,,Cocks Premium,0
129-QR,107,Cocks Premium,185
129-QW,,Cocks Premium,0
129-RG,,Cocks Premium,17
129-RP,,Cocks Premium,0
129-RR,,Cocks Premium,9
129-RW,,Cocks Premium,0
129-SG,,Cocks Premium,0
129-SP,,Cocks Premium,3
129-SR,,Cocks Premium,499.33
129-SW,,Cocks Premium,4
129-UG,,Cocks Premium,0
129-UP,,Cocks Premium,0
129-UR,,Cocks Premium,0
129-UW,,Cocks Premium,0
129-VG,,Cocks Premium,0
129-VP,14,Cocks Premium,14
129-VR,,Cocks Premium,11
129-VW,,Cocks Premium,0
130-DG,,Cocks Premium,3.33
130-DP,,Cocks Premium,0
130-DR,,Cocks Premium,309
130-DW,,Cocks Premium,12
130-HG,,Cocks Premium,0
130-HP,,Cocks Premium,0
130-HR,,Cocks Premium,86
130-HW,,Cocks Premium,0
130-IG,,Cocks Premium,0
130-IP,,Cocks Premium,0
130-IR,,Cocks Premium,0
130-IW,,Cocks Premium,0
130-LG,,Cocks Premium,0
130-LP,,Cocks Premium,0
130-LR,,Cocks Premium,0
130-LW,,Cocks Premium,0
130-NB,,Cocks Premium,39
130-NG,,Cocks Premium,0
130-NP,,Cocks Premium,0
130-NR,,Cocks Premium,0
130-NW,,Cocks Premium,18
130-QG,,Cocks Premium,0
130-QP,,Cocks Premium,62
