id,run_id,cat_no,colour,qty
416,6,145,WHITE,0
417,6,147,WHITE,0
418,6,127,WHITE,0
419,6,124,WHITE,0
420,6,123,WHITE,0
421,6,149-N,WHITE,0
422,6,147-SQ,WHITE,0
423,6,133-NEW,WHITE,0
424,6,132-T,WHITE,0
425,6,131-N,WHITE,0
426,6,1375-S,WHITE,0
427,6,122-I,WHITE,0
428,6,123-N,WHITE,0
429,6,130-I,WHITE,0
430,6,132-I,WHITE,0
431,6,133-I,WHITE,0
432,6,144-I,WHITE,0
433,6,150-I,WHITE,0
434,6,134,WHITE,0
435,6,135,WHITE,0
436,6,123-I,WHITE,0
437,6,667,WHITE,36
438,6,120-WS,WHITE,0
439,6,PTA-14,WHITE,0
440,6,PTA-52,WHITE,0
441,6,PTA-63,WHITE,0
442,6,PTA-69,WHITE,0
443,6,PTA-70,WHITE,0
444,6,PTA-71,WHITE,0
445,6,PTA-78,WHITE,0
446,6,3451,WHITE,0
447,6,3727,WHITE,0
448,6,PTA-3,WHITE,0
449,6,663,WHITE,0
450,6,665,WHITE,0
451,6,506,WHITE,50
452,6,CWP-01,WHITE,0
453,6,321,WHITE,0
454,6,325,WHITE,0
455,6,326,WHITE,0
456,6,513,PINK,0
457,6,513,BLUE,0
458,6,517,GREEN,0
459,6,701,BLUE,0
460,6,701,PINK,0
461,6,130,WHITE,0
462,6,142,WHITE,0
463,6,145,WHITE,0
464,6,147,WHITE,0
465,6,181-C,WHITE,0
466,6,1813-C,WHITE,0
467,6,144,WHITE,0
468,6,183,WHITE,0
469,6,107,WHITE,0
470,6,187-R,R BLUE,0
471,6,149-N,WHITE,0
472,6,LF-153,,0
473,6,LF-154,,0
474,6,151,GOLD,0
475,6,121-HR,R BLUE,0
476,6,129-HR,R BLUE,0
477,6,144-HR,R BLUE,0
478,6,121-HW,WINE,0
479,6,144-HW,WINE,0
480,6,144-QR,R BLUE,0
481,6,147-QR,R BLUE,0
482,6,1375-S,WHITE,0
483,6,123-QR,R BLUE,0
484,6,129-QR,R BLUE,0
485,6,130-QR,R BLUE,0
486,6,132-QR,R BLUE,0
487,6,187-W,WINE,0
488,6,1375-A,WHITE,24
489,6,121-A,WHITE,0
490,6,144-A,WHITE,0
491,6,1813-B,WHITE,0
492,6,121-SR,R BLUE,0
493,6,124,WHITE,0
494,6,1817-C,WHITE,0
495,6,188,WHITE,0
496,6,151,GOLD,0
497,6,152,GOLD,0
498,6,153,GOLD,0
499,6,145-V,IVORY,30
500,6,124-F,IVORY,0
501,6,129,IVORY,0
502,6,1813-C,IVORY,0
503,6,200,IVORY,0
504,6,132-T,IVORY,0
505,6,131-N,IVORY,0
506,6,121,IVORY,0
507,6,123,IVORY,0
508,6,144,IVORY,0
509,6,324,WHITE,0
510,6,325,WHITE,0
511,6,120-WS,IVORY,0
512,6,187,IVORY,0
513,6,132-RG,GOLD,0
514,6,132-RR,R BLUE,0
515,6,132-RW,WINE,0
516,6,1817-C,IVORY,0
517,6,130-Q,IVORY,0
518,6,132-R,IVORY,0
519,6,P-121,GREY,0
520,6,P-144,GREY,0
521,6,1391,IVORY,0
522,6,136-L,WHITE,50
523,6,1375-C,WHITE,0
524,6,1375-S,WHITE,0
