id,category,item_code,colour,segment
486,Cocks Standard,127-H,IVORY,PTMT
487,Cocks Standard,127-H,M GREEN,PTMT
488,Cocks Standard,127-H,PINK,PTMT
489,Cocks Standard,127-H,WHITE,PTMT
490,Cocks Standard,127-K,WHITE,PTMT
491,Cocks Standard,127-LS,WHITE,PTMT
492,Cocks Standard,127-LSB,BLUE,PTMT
493,Cocks Standard,127-O,BURGUNDY,PTMT
494,Cocks Standard,127-O,GREEN,PTMT
495,Cocks Standard,127-O,IVORY,PTMT
496,Cocks Standard,127-O,M GREEN,PTMT
497,Cocks Standard,127-O,PINK,PTMT
498,Cocks Standard,127-O,WHITE,PTMT
499,Cocks Standard,127-P,BURGUNDY,PTMT
500,Cocks Standard,127-P,GREEN,PTMT
501,Cocks Standard,127-P,IVORY,PTMT
502,Cocks Standard,127-P,M GREEN,PTMT
503,Cocks Standard,127-P,PINK,PTMT
504,Cocks Standard,127-P,WHITE,PTMT
505,Cocks Standard,127-S,BURGUNDY,PTMT
506,Cocks Standard,127-S,GREEN,PTMT
507,Cocks Standard,127-S,IVORY,PTMT
508,Cocks Standard,127-S,M GREEN,PTMT
509,Cocks Standard,127-S,PINK,PTMT
510,Cocks Standard,127-S,WHITE,PTMT
511,Cocks Standard,127-V,BURGUNDY,PTMT
512,Cocks Standard,127-V,GREEN,PTMT
513,Cocks Standard,127-V,IVORY,PTMT
514,Cocks Standard,127-V,M GREEN,PTMT
515,Cocks Standard,127-V,PINK,PTMT
516,Cocks Standard,127-V,WHITE,PTMT
517,Cocks Standard,127.0,BURGUNDY,PTMT
518,Cocks Standard,127.0,GREEN,PTMT
519,Cocks Standard,127.0,IVORY,PTMT
520,Cocks Standard,127.0,M GREEN,PTMT
521,Cocks Standard,127.0,PINK,PTMT
522,Cocks Standard,127.0,WHITE,PTMT
523,Cocks Standard,129,BLUE,PTMT
524,Cocks Standard,129-A,WHITE,PTMT
525,Cocks Standard,129-AB,.,PTMT
526,Cocks Standard,129-AP,IVORY,PTMT
527,Cocks Standard,129-AP,WHITE,PTMT
528,Cocks Standard,129-AS,IVORY,PTMT
529,Cocks Standard,129-AS,WHITE,PTMT
530,Cocks Standard,129-B,BURGUNDY,PTMT
531,Cocks Standard,129-B,GREEN,PTMT
532,Cocks Standard,129-B,IVORY,PTMT
533,Cocks Standard,129-B,M GREEN,PTMT
534,Cocks Standard,129-B,PINK,PTMT
535,Cocks Standard,129-B,WHITE,PTMT
536,Cocks Standard,129-C,BURGUNDY,PTMT
537,Cocks Standard,129-C,GREEN,PTMT
538,Cocks Standard,129-C,IVORY,PTMT
539,Cocks Standard,129-C,M GREEN,PTMT
540,Cocks Standard,129-C,PINK,PTMT
541,Cocks Standard,129-C,WHITE,PTMT
542,Cocks Standard,129-D,BURGUNDY,PTMT
543,Cocks Standard,129-D,GREEN,PTMT
544,Cocks Standard,129-D,IVORY,PTMT
545,Cocks Standard,129-D,M GREEN,PTMT
546,Cocks Standard,129-D,PINK,PTMT
547,Cocks Standard,129-D,WHITE,PTMT
548,Cocks Standard,129-DB,BLACK,PTMT
549,Cocks Standard,129-E,BURGUNDY,PTMT
550,Cocks Standard,129-E,GREEN,PTMT
551,Cocks Standard,129-E,IVORY,PTMT
552,Cocks Standard,129-E,M GREEN,PTMT
553,Cocks Standard,129-E,PINK,PTMT
554,Cocks Standard,129-E,WHITE,PTMT
555,Cocks Standard,129-EB,IVORY,PTMT
556,Cocks Standard,129-EB,WHITE,PTMT
557,Cocks Standard,129-H,BURGUNDY,PTMT
558,Cocks Standard,129-H,GREEN,PTMT
559,Cocks Standard,129-H,IVORY,PTMT
560,Cocks Standard,129-H,M GREEN,PTMT
561,Cocks Standard,129-H,PINK,PTMT
562,Cocks Standard,129-H,WHITE,PTMT
